city,station_name,address,fuel_code,price,date
Мелекесский район,Роснефть РН-Карт,"Р178, Мулловка, Ульяновская обл., Россия, 433550",AI95,63.89,2025-12-07 22:31:15.080881
Мелекесский район,Роснефть РН-Карт,"Р178, Мулловка, Ульяновская обл., Россия, 433550",DIESEL,71.03,2025-12-07 22:31:15.080881
Мелекесский район,Роснефть РН-Карт,"Р178, Мулловка, Ульяновская обл., Россия, 433550",GAS,28.09,2025-12-07 22:31:15.080881
Димитровград,Роснефть РН-Карт,"ул. Куйбышева, 229, Димитровград, Ульяновская обл., Россия, 433508",AI92,59.14,2025-12-07 22:31:15.080881
Димитровград,Роснефть РН-Карт,"ул. Куйбышева, 229, Димитровград, Ульяновская обл., Россия, 433508",AI95,63.89,2025-12-07 22:31:15.080881
Димитровград,Роснефть РН-Карт,"ул. Куйбышева, 229, Димитровград, Ульяновская обл., Россия, 433508",DIESEL,71.03,2025-12-07 22:31:15.080881
Димитровград,Роснефть РН-Карт,"ул. Куйбышева, 229, Димитровград, Ульяновская обл., Россия, 433508",GAS,28.09,2025-12-07 22:31:15.080881
Барышский район,Роснефть РН-Карт,"Ульяновская обл., Барышский р-н, с. Большая Силаевка, а/д Барыш - Ульяновск, слева",AI92,59.14,2025-12-07 22:31:15.080881
Барышский район,Роснефть РН-Карт,"Ульяновская обл., Барышский р-н, с. Большая Силаевка, а/д Барыш - Ульяновск, слева",AI95,63.89,2025-12-07 22:31:15.080881
Барышский район,Роснефть РН-Карт,"Ульяновская обл., Барышский р-н, с. Большая Силаевка, а/д Барыш - Ульяновск, слева",DIESEL,71.03,2025-12-07 22:31:15.080881
Сурский район,Роснефть РН-Карт,"Ульяновская обл., Сурский р-н, с. Гулюшево, Р178, 98 км, слева",AI92,59.14,2025-12-07 22:31:15.080881
Сурский район,Роснефть РН-Карт,"Ульяновская обл., Сурский р-н, с. Гулюшево, Р178, 98 км, слева",AI95,66.39,2025-12-07 22:31:15.080881
Сурский район,Роснефть РН-Карт,"Ульяновская обл., Сурский р-н, с. Гулюшево, Р178, 98 км, слева",DIESEL,71.03,2025-12-07 22:31:15.080881
Тагай,Роснефть РН-Карт,"Р178, Подлесное, Ульяновская обл., Россия, 433140",AI92,59.14,2025-12-07 22:31:15.080881
Тагай,Роснефть РН-Карт,"Р178, Подлесное, Ульяновская обл., Россия, 433140",AI95,66.39,2025-12-07 22:31:15.080881
Тагай,Роснефть РН-Карт,"Р178, Подлесное, Ульяновская обл., Россия, 433140",DIESEL,71.03,2025-12-07 22:31:15.080881
Марьевка,Роснефть РН-Карт,"Р241, Цильна, Ульяновская обл., Россия, 433600",AI92,59.14,2025-12-07 22:31:15.080881
Марьевка,Роснефть РН-Карт,"Р241, Цильна, Ульяновская обл., Россия, 433600",AI95,66.39,2025-12-07 22:31:15.080881
Марьевка,Роснефть РН-Карт,"Р241, Цильна, Ульяновская обл., Россия, 433600",DIESEL,71.03,2025-12-07 22:31:15.080881
Карсунский район,Роснефть РН-Карт,"Ульяновская область, Ульяновская обл., Карсунский р-он, село Усть Урень",AI92,59.14,2025-12-07 22:31:15.080881
Карсунский район,Роснефть РН-Карт,"Ульяновская область, Ульяновская обл., Карсунский р-он, село Усть Урень",AI95,66.39,2025-12-07 22:31:15.080881
Карсунский район,Роснефть РН-Карт,"Ульяновская область, Ульяновская обл., Карсунский р-он, село Усть Урень",DIESEL,71.03,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"ул. Автомобилистов, 4, Ульяновск, Ульяновская обл., Россия, 432035",AI92,59.14,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"ул. Автомобилистов, 4, Ульяновск, Ульяновская обл., Россия, 432035",AI95,66.39,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"ул. Автомобилистов, 4, Ульяновск, Ульяновская обл., Россия, 432035",DIESEL,71.03,2025-12-07 22:31:15.080881
Инза,Роснефть РН-Карт,"Вокзальная ул., 6, Инза, Ульяновская обл., Россия, 433031",AI92,59.14,2025-12-07 22:31:15.080881
Инза,Роснефть РН-Карт,"Вокзальная ул., 6, Инза, Ульяновская обл., Россия, 433031",AI95,63.89,2025-12-07 22:31:15.080881
Инза,Роснефть РН-Карт,"Вокзальная ул., 6, Инза, Ульяновская обл., Россия, 433031",DIESEL,71.03,2025-12-07 22:31:15.080881
Инза,Роснефть РН-Карт,"Вокзальная ул., 6, Инза, Ульяновская обл., Россия, 433031",GAS,28.09,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"Промышленная ул., 54, Ульяновск, Ульяновская обл., Россия, 432013",AI92,59.14,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"Промышленная ул., 54, Ульяновск, Ульяновская обл., Россия, 432013",AI95,66.39,2025-12-07 22:31:15.080881
Ульяновск,Роснефть РН-Карт,"Промышленная ул., 54, Ульяновск, Ульяновская обл., Россия, 432013",DIESEL,71.03,2025-12-07 22:31:15.080881
Ульяновск,УЦГ №№ 11м,"г. Ульяновск, ул. Димитрова 14",AI95,63.99,2025-12-07 22:31:15.080881
